Unnamed: 0,Russian,English
1,армия,army
2,ах,Oh
4,б[edit],b[edit]
5,бабушка,grandmother
6,бежать,run away
7,без,without
8,белый,white
9,берег,shore
10,беседа,conversation
11,близкий,close
12,богатый,rich
14,более,more
17,большой,big
18,борьба,struggle
19,бояться,afraid
20,брат,Brother
21,брать,take
22,бригада,brigade
23,бригадир,foreman
24,бросить,quit
25,броситься,rush
27,будущий,future
28,бумага,paper
29,бы / б,would / b
30,бывать,visit
31,быстро,fast
32,быть,be
33,,
34,в[edit],in[edit]
35,в / во,in / in
36,вагон,railway carriage
37,важный,important
38,вверх,up
40,ведь,after all
41,век,century
43,верить,believe
44,верно,right
45,вернуться,return
46,весело,funny
47,весёлый,funny
48,весна,spring
49,вести,lead
50,весь,the whole
51,ветер,wind
53,вечером,In the evening
54,вещь,thing
55,взгляд,sight
56,взглянуть,take a look
57,взрослый,adult
58,взять,take
59,вид,view
60,видеть,see
61,видно,it is seen
62,висеть,hang
63,власть,power
64,вместе,together
65,вместо,instead of
66,внимательно,attentively
68,военный,military
69,возвращаться,come back
70,воздух,air
72,возможность,opportunity
73,война,war
74,войти,to come in
75,вокруг,around
76,волна,wave
77,волос,hair
78,вон,out
79,вообще,at all
80,вопрос,question
81,ворота,gates
82,восемь,eight
83,воспитание,upbringing
84,восьмой,eighth
86,впервые,first
87,вперёд,forward
88,впереди,ahead
90,впрочем,however
92,время,time
93,всё,All
94,всегда,Always
95,вскоре,soon
96,вспоминать,recall
97,вспомнить,recall
98,встать,get up
100,встретиться,meet
101,встреча,meeting
102,всякий,any
103,второй,second
104,вчера,yesterday
105,вы,You
108,выполнение,performance
109,выполнить,execute
110,выполнять,fulfill
111,вырасти,grow up
113,выступать,protrude
114,выступить,speak
116,,
117,г[edit],r[edit]
119,где,Where
120,гектар,hectare
121,генерал,general
122,герой,hero
123,главный,main
124,глаз,eye
125,глядеть,look
126,говорить,speak
128,голова,head
129,голос,voice
130,голубь,pigeon
131,гора,mountain
132,горячий,hot
133,господин,mister
134,гость,guest
136,готовить,prepare
139,громко,loud
141,группа,group
142,,
143,да,Yes
144,давать,give
145,давно,for a long time
146,даже,even
147,далёкий,far
148,далеко,far
149,дальше,further
150,дать,give
152,двадцать,twenty
153,двенадцать,twelve
154,дверь,door
155,двести,two hundred
156,движение,movement
157,двор,yard
159,девушка,young woman
160,девятый,ninth
161,девять,nine
162,девятьсот,nine hundred
163,дежурный,duty
164,действительно,really
165,делать,do
167,день,day
168,деньги,money
169,дерево,tree
170,держать,hold
171,десяток,dozen
172,десятый,tenth
173,десять,ten
174,деталь,detail
175,дети,children
176,детский,children's
177,директор,director
178,длинный,long
179,для,For
180,до,before
181,добиться,achieve
183,дождь,rain
184,доклад,report
185,доктор,doctor
186,долго,for a long time
188,дом,house
189,дома,Houses
191,дорога,road
192,доска,board
193,достать,get
195,другой,another
196,дружба,friendship
198,думать,think
199,душа,soul
200,дядя,uncle
201,,
203,едва,barely
205,есть,There is
206,ехать,drive
207,ещё,more
208,,
209,ж[edit],w[edit]
210,ждать,wait
212,железный,iron
213,жёлтый,yellow
214,жена,wife
215,женщина,woman
216,живой,alive
217,жизнь,life
218,жить,live
219,журнал,magazine
220,,
222,за,behind
223,забыть,forget
225,завтра,Tomorrow
226,заговорить,speak
227,задание,exercise
228,задача,task
229,зайти,come in
230,закон,law
231,закончить,finish
232,закричать,scream
233,зал,hall
235,замечательный,wonderful
236,заниматься,study
237,занятие,class
238,затем,then
240,звонок,call
241,звук,sound
242,здание,building
243,здесь,Here
244,здравствовать,hello
245,зелёный,green
247,зерно,corn
248,знакомый,familiar
250,знать,know
251,значить,to mean
253,зуб,tooth
254,,
255,и[edit],and[edit]
256,и,And
258,играть,play
259,идти,go
260,из / изо,from/iso
261,известный,famous
262,из-за,because of
263,или,or
264,именно,exactly
265,иметь,have
267,иначе,otherwise
268,инженер,engineer
269,иногда,Sometimes
270,иной,different
271,интерес,interest
272,интересно,Interesting
273,интересный,interesting
274,искать,search
275,искусство,art
276,история,story
277,июль,July
279,к[edit],to[edit]
280,к / ко,to/to
281,кабинет,cabinet
282,каждый,every
283,казаться,seem
284,как,How
285,какой,Which
286,камень,stone
287,капитан,captain
288,карман,pocket
289,карта,map
290,картина,painting
291,квартира,apartment
293,километр,kilometer
294,кино,movie
296,клуб,club
297,книга,book
298,книжка,book
299,когда,When
300,"кое-где, кое-как, кое-какой, кое-когда, кое-кто, кое-что","somewhere, somehow, somehow, sometime, someone, something"
301,коллектив,team
302,колхоз,collective farm
303,колхозник,collective farmer
304,колхозный,collective farm
306,командир,commander
307,комбинат,plant
308,комитет,Committee
309,коммунизм,communism
310,коммунистический,communist
311,комната,room
312,комсомол,Komsomol
313,комсомолец,Komsomolets
314,комсомольский,Komsomol
315,конец,end
317,концерт,concert
318,корабль,ship
319,коридор,corridor
321,короткий,short
322,костёр,bonfire
